ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
18,Indiana,IN,18001,Adams County,18001,"Adams County, Indiana",338.926315161674,0.735,0.2017,0.3446,0.6736,0.9682,2.9231,0.6411,0.1718,0.9841,0.1177,0.1499,0.5861,2.0096,0.2055,0.1654,0.1654,0.1654,0.6914,0.0939,0.8412,0.9812,0.4003,3.008,0.7569,8.1061,0.5355
18,Indiana,IN,18003,Allen County,18003,"Allen County, Indiana",657.183998368982,0.4095,0.518,0.4874,0.454,0.4556,2.3245,0.4426,0.1473,0.8781,0.1925,0.7601,0.7865,2.7645,0.699,0.6468,0.6468,0.6468,0.8549,0.1308,0.4712,0.5959,0.3299,2.3827,0.4435,8.1185,0.5374
18,Indiana,IN,18005,Bartholomew County,18005,"Bartholomew County, Indiana",406.939485169822,0.3261,0.2752,0.2479,0.314,0.245,1.4082,0.167,0.2272,0.7639,0.3662,0.5304,0.6367,2.5244,0.5492,0.5415,0.5415,0.5415,0.8514,0.2584,0.3608,0.5177,0.2119,2.2002,0.3484,6.6743,0.287
18,Indiana,IN,18007,Benton County,18007,"Benton County, Indiana",406.417319666716,0.6825,0.2924,0.3121,0.5632,0.2883,2.1385,0.3738,0.3003,0.8406,0.706,0.7935,0.5536,3.194,0.9074,0.2587,0.2587,0.2587,0.2141,0.1728,0.5759,0.1693,0.252,1.3841,0.0678,6.9753,0.3369
18,Indiana,IN,18009,Blackford County,18009,"Blackford County, Indiana",165.081541775412,0.7932,0.6583,0.7506,0.4276,0.3856,3.0153,0.6748,0.693,0.5014,0.8699,0.5304,0.0,2.5947,0.5972,0.0675,0.0675,0.0675,0.5641,0.2902,0.1193,0.909,0.2119,2.0945,0.2975,7.772,0.4801
18,Indiana,IN,18011,Boone County,18011,"Boone County, Indiana",422.882081539326,0.0239,0.1864,0.1861,0.0633,0.1085,0.5682,0.0251,0.0993,0.8918,0.0449,0.5711,0.4776,2.0847,0.2526,0.3446,0.3446,0.3446,0.8062,0.1254,0.0948,0.0458,0.1091,1.1813,0.0366,4.1788,0.0331
18,Indiana,IN,18013,Brown County,18013,"Brown County, Indiana",311.9873465727,0.1861,0.3296,0.4079,0.2125,0.434,1.5701,0.2055,0.8915,0.0729,0.5479,0.3223,0.377,2.2116,0.3261,0.0544,0.0544,0.0544,0.6188,0.2638,0.8311,0.1833,0.1091,2.0061,0.2542,5.8422,0.1712
18,Indiana,IN,18015,Carroll County,18015,"Carroll County, Indiana",372.22449411582,0.209,0.1864,0.0605,0.4375,0.6885,1.5819,0.2097,0.5873,0.4846,0.4391,0.1871,0.315,2.0131,0.2084,0.1753,0.1753,0.1753,0.321,0.3563,0.2765,0.2345,0.0538,1.2421,0.0458,5.0124,0.0821
18,Indiana,IN,18017,Cass County,18017,"Cass County, Indiana",412.143961750698,0.6052,0.3853,0.217,0.7264,0.4219,2.3558,0.4528,0.3684,0.5997,0.4489,0.7706,0.8571,3.0447,0.8479,0.5797,0.5797,0.5797,0.4038,0.2736,0.4712,0.5177,0.6195,2.2858,0.3961,8.266,0.5587
18,Indiana,IN,18019,Clark County,18019,"Clark County, Indiana",372.490937700592,0.2304,0.2924,0.5361,0.419,0.3073,1.7852,0.2654,0.2189,0.5138,0.3843,0.5912,0.6367,2.3449,0.4171,0.504,0.504,0.504,0.8244,0.2475,0.5087,0.3551,0.252,2.1877,0.3411,6.8218,0.3093
18,Indiana,IN,18021,Clay County,18021,"Clay County, Indiana",357.600194762566,0.3077,0.4038,0.1193,0.3452,0.1343,1.3103,0.1444,0.3793,0.6707,0.6134,0.6408,0.0856,2.3898,0.4496,0.0675,0.0675,0.0675,0.3509,0.4744,0.636,0.1537,0.462,2.077,0.2873,5.8446,0.1718
18,Indiana,IN,18023,Clinton County,18023,"Clinton County, Indiana",405.0670213584,0.3112,0.2393,0.3207,0.6564,0.4827,2.0103,0.335,0.2272,0.936,0.1177,0.4279,0.874,2.5828,0.587,0.5202,0.5202,0.5202,0.5845,0.1626,0.3198,0.3939,0.4321,1.8929,0.2094,7.0062,0.3443
18,Indiana,IN,18025,Crawford County,18025,"Crawford County, Indiana",305.613167032988,0.861,0.2752,0.5504,0.7264,0.3586,2.7716,0.5899,0.566,0.4413,0.7114,0.0305,0.0856,1.8348,0.1247,0.0407,0.0407,0.0407,0.1594,0.9351,0.4311,0.4868,0.1798,2.1922,0.3449,6.8393,0.3124
18,Indiana,IN,18027,Daviess County,18027,"Daviess County, Indiana",429.514084550558,0.3904,0.0585,0.209,0.958,0.9815,2.5974,0.5304,0.1775,0.9695,0.3347,0.1012,0.7534,2.3363,0.4136,0.328,0.328,0.328,0.6774,0.3799,0.8982,0.979,0.4321,3.3666,0.9077,8.6283,0.6239
18,Indiana,IN,18029,Dearborn County,18029,"Dearborn County, Indiana",305.086702670214,0.1028,0.0732,0.1922,0.3738,0.1562,0.8982,0.0662,0.3793,0.5138,0.3261,0.4486,0.1661,1.8339,0.1241,0.0337,0.0337,0.0337,0.6984,0.1556,0.0948,0.3061,0.1403,1.3952,0.071,4.161,0.0312
18,Indiana,IN,18031,Decatur County,18031,"Decatur County, Indiana",372.56763068526,0.1861,0.1864,0.1352,0.3633,0.0671,0.9381,0.0725,0.3096,0.7375,0.1925,0.0907,0.0,1.3303,0.0229,0.1094,0.1094,0.1094,0.6535,0.2179,0.0404,0.099,0.3675,1.3783,0.0659,3.7561,0.0159
18,Indiana,IN,18033,DeKalb County,18033,"DeKalb County, Indiana",362.832388833818,0.1861,0.4038,0.1394,0.3452,0.3303,1.4048,0.1667,0.244,0.7964,0.259,0.5552,0.1661,2.0207,0.2138,0.0821,0.0821,0.0821,0.5845,0.4626,0.4311,0.4295,0.1798,2.0875,0.2934,5.5951,0.1384
18,Indiana,IN,18035,Delaware County,18035,"Delaware County, Indiana",392.109291133538,0.8209,0.7544,0.7763,0.4031,0.4034,3.1581,0.7226,0.3003,0.1129,0.706,0.7337,0.1661,2.019,0.2116,0.413,0.413,0.413,0.8215,0.2281,0.3608,0.7948,0.8753,3.0805,0.7903,8.6706,0.6309
18,Indiana,IN,18037,Dubois County,18037,"Dubois County, Indiana",427.26678982872,0.1381,0.0585,0.1489,0.4683,0.1085,0.9223,0.0697,0.3427,0.8034,0.0948,0.4486,0.7197,2.4092,0.461,0.335,0.335,0.335,0.7031,0.2234,0.2393,0.412,0.5393,2.1171,0.3067,5.7836,0.1619
18,Indiana,IN,18039,Elkhart County,18039,"Elkhart County, Indiana",463.160329052276,0.4537,0.3115,0.678,0.8562,0.8635,3.1629,0.7245,0.1518,0.9488,0.2179,0.7935,0.7973,2.9093,0.7852,0.6287,0.6287,0.6287,0.8244,0.4228,0.685,0.8451,0.3675,3.1448,0.819,9.8457,0.8132
18,Indiana,IN,18041,Fayette County,18041,"Fayette County, Indiana",215.020812682854,0.7378,0.4537,0.7197,0.7512,0.4219,3.0843,0.7022,0.6052,0.4846,0.9017,0.7337,0.315,3.0402,0.8454,0.1037,0.1037,0.1037,0.6351,0.2953,0.2765,0.7948,0.4321,2.4338,0.4703,8.662,0.6293
18,Indiana,IN,18043,Floyd County,18043,"Floyd County, Indiana",148.455044477716,0.1359,0.3296,0.3446,0.2593,0.1893,1.2587,0.1333,0.2517,0.5616,0.3159,0.7706,0.4349,2.3347,0.412,0.3888,0.3888,0.3888,0.8167,0.1451,0.0722,0.5562,0.4321,2.0223,0.2641,6.0045,0.1915
18,Indiana,IN,18045,Fountain County,18045,"Fountain County, Indiana",395.667421836578,0.3439,0.5921,0.4244,0.5402,0.4827,2.3833,0.4629,0.5453,0.4413,0.6742,0.8422,0.315,2.818,0.7318,0.0821,0.0821,0.0821,0.1406,0.5278,0.3198,0.3551,0.0875,1.4308,0.0795,6.7142,0.2924
18,Indiana,IN,18047,Franklin County,18047,"Franklin County, Indiana",384.425655541172,0.1359,0.0732,0.0605,0.5002,0.2564,1.0262,0.0872,0.4871,0.616,0.3007,0.0907,0.5536,2.0481,0.2335,0.015,0.015,0.015,0.3659,0.5962,0.5087,0.7346,0.0875,2.2929,0.3996,5.3822,0.1199
18,Indiana,IN,18049,Fulton County,18049,"Fulton County, Indiana",368.392787751864,0.4776,0.8616,0.2994,0.6414,0.6822,2.9622,0.6577,0.5453,0.7375,0.5227,0.3624,0.4776,2.6455,0.6293,0.2854,0.2854,0.2854,0.4038,0.5587,0.6083,0.5959,0.0875,2.2542,0.3802,8.1473,0.5415
18,Indiana,IN,18051,Gibson County,18051,"Gibson County, Indiana",487.377693987002,0.2396,0.1457,0.1683,0.4085,0.1343,1.0964,0.0986,0.3096,0.7639,0.4989,0.3029,0.377,2.2523,0.3548,0.2536,0.2536,0.2536,0.6774,0.4744,0.7537,0.2345,0.5765,2.7165,0.616,6.3188,0.2342
18,Indiana,IN,18053,Grant County,18053,"Grant County, Indiana",414.08838532237,0.7012,0.8731,0.5504,0.5632,0.3856,3.0735,0.6965,0.4677,0.3659,0.7938,0.7601,0.315,2.7025,0.6666,0.4537,0.4537,0.4537,0.6694,0.2953,0.5759,0.8123,0.9084,3.2613,0.8683,9.491,0.7649
18,Indiana,IN,18055,Greene County,18055,"Greene County, Indiana",542.467114221206,0.5807,0.8231,0.5177,0.5835,0.434,2.939,0.6491,0.5348,0.4127,0.8218,0.3843,0.377,2.5306,0.5514,0.0299,0.0299,0.0299,0.1785,0.7722,0.8221,0.6083,0.1798,2.5609,0.5332,8.0604,0.5275
18,Indiana,IN,18057,Hamilton County,18057,"Hamilton County, Indiana",394.38065043473,0.0048,0.1365,0.1352,0.0073,0.0837,0.3675,0.0064,0.0636,0.9112,0.0121,0.4693,0.6612,2.1174,0.2682,0.5081,0.5081,0.5081,0.8514,0.057,0.1479,0.0515,0.0388,1.1466,0.034,4.1396,0.0302
18,Indiana,IN,18059,Hancock County,18059,"Hancock County, Indiana",305.956980053132,0.0239,0.1365,0.2689,0.1756,0.2367,0.8416,0.0598,0.2838,0.6564,0.2179,0.2412,0.377,1.7763,0.1085,0.2781,0.2781,0.2781,0.5921,0.0754,0.0948,0.1187,0.1091,0.9901,0.0178,3.8861,0.0185
18,Indiana,IN,18061,Harrison County,18061,"Harrison County, Indiana",484.105371428442,0.1304,0.3115,0.0293,0.447,0.2367,1.1549,0.1117,0.3926,0.531,0.5301,0.1012,0.1661,1.721,0.09,0.0544,0.0544,0.0544,0.5425,0.6306,0.5087,0.3939,0.1798,2.2555,0.3815,5.1858,0.1009
18,Indiana,IN,18063,Hendricks County,18063,"Hendricks County, Indiana",406.893372235758,0.0165,0.105,0.1584,0.1572,0.2367,0.6738,0.0334,0.1145,0.8174,0.0414,0.5304,0.6367,2.1404,0.2819,0.5148,0.5148,0.5148,0.7859,0.0614,0.3933,0.0888,0.4321,1.7615,0.168,5.0905,0.0904
18,Indiana,IN,18065,Henry County,18065,"Henry County, Indiana",391.877285916656,0.4435,0.4537,0.4413,0.3738,0.3191,2.0314,0.3414,0.4801,0.2902,0.7868,0.4693,0.1661,2.1925,0.3121,0.1696,0.1696,0.1696,0.5533,0.2234,0.4311,0.3217,0.8699,2.3994,0.4521,6.7929,0.3045
18,Indiana,IN,18067,Howard County,18067,"Howard County, Indiana",293.074052071444,0.4321,0.7082,0.4324,0.3528,0.3398,2.2653,0.4193,0.5049,0.616,0.6341,0.805,0.2475,2.8075,0.7238,0.4604,0.4604,0.4604,0.7986,0.1508,0.1479,0.6723,0.2943,2.0639,0.28,7.5971,0.4505
18,Indiana,IN,18069,Huntington County,18069,"Huntington County, Indiana",382.651370518514,0.3958,0.2393,0.2641,0.2389,0.3191,1.4572,0.1766,0.3427,0.4263,0.3764,0.3843,0.4776,2.0073,0.2052,0.1152,0.1152,0.1152,0.5746,0.2119,0.3198,0.1413,0.7321,1.9797,0.2428,5.5594,0.1362
18,Indiana,IN,18071,Jackson County,18071,"Jackson County, Indiana",509.977601581634,0.4267,0.1365,0.4015,0.461,0.5138,1.9395,0.3134,0.244,0.7639,0.4082,0.3411,0.8361,2.5933,0.5956,0.4057,0.4057,0.4057,0.6984,0.5068,0.5087,0.5689,0.4003,2.6831,0.5972,7.6216,0.4556
18,Indiana,IN,18073,Jasper County,18073,"Jasper County, Indiana",559.6794630025,0.1155,0.3668,0.2243,0.2125,0.1562,1.0753,0.0939,0.3598,0.6564,0.49,0.4486,0.4349,2.3897,0.4489,0.342,0.342,0.342,0.496,0.1626,0.1193,0.1088,0.4916,1.3783,0.0659,5.1853,0.1005
18,Indiana,IN,18075,Jay County,18075,"Jay County, Indiana",383.905127496648,0.6109,0.4267,0.4413,0.6319,0.6185,2.7293,0.5762,0.3684,0.8864,0.6535,0.3411,0.315,2.5644,0.5749,0.0881,0.0881,0.0881,0.4038,0.3296,0.3933,0.909,0.252,2.2877,0.3964,7.6695,0.4626
18,Indiana,IN,18077,Jefferson County,18077,"Jefferson County, Indiana",360.698132808418,0.4149,0.2393,0.6844,0.6071,0.4397,2.3854,0.4633,0.4155,0.2698,0.7696,0.7337,0.315,2.5036,0.531,0.2062,0.2062,0.2062,0.6535,0.5765,0.7362,0.4868,0.8489,3.3019,0.8848,8.3971,0.5832
18,Indiana,IN,18079,Jennings County,18079,"Jennings County, Indiana",376.59706644715,0.4095,0.5603,0.2641,0.5501,0.6125,2.3965,0.4645,0.2517,0.6564,0.763,0.4693,0.315,2.4554,0.497,0.0932,0.0932,0.0932,0.0923,0.7722,0.783,0.2208,0.252,2.1203,0.308,7.0654,0.3573
18,Indiana,IN,18081,Johnson County,18081,"Johnson County, Indiana",320.414751683276,0.083,0.2393,0.4788,0.2389,0.2768,1.3168,0.1451,0.1575,0.8034,0.0948,0.3624,0.518,1.9361,0.1645,0.3977,0.3977,0.3977,0.8215,0.1129,0.2393,0.1301,0.3675,1.6713,0.1387,5.3219,0.1117
18,Indiana,IN,18083,Knox County,18083,"Knox County, Indiana",515.830427204644,0.4368,0.2017,0.2689,0.5304,0.447,1.8848,0.2953,0.3684,0.4006,0.6421,0.833,0.6834,2.9275,0.7938,0.265,0.265,0.265,0.7226,0.3153,0.2027,0.7203,0.8266,2.7875,0.6561,7.8648,0.497
18,Indiana,IN,18085,Kosciusko County,18085,"Kosciusko County, Indiana",531.445982438782,0.2055,0.2208,0.2479,0.6141,0.6538,1.9421,0.314,0.3096,0.7245,0.3007,0.5552,0.6834,2.5734,0.5797,0.3917,0.3917,0.3917,0.5845,0.4865,0.3933,0.4295,0.462,2.3558,0.4311,7.263,0.3926
18,Indiana,IN,18087,LaGrange County,18087,"LaGrange County, Indiana",379.63064862554,0.0398,0.2017,0.0369,0.9987,1.0,2.2771,0.4251,0.092,0.9885,0.0948,0.3843,0.874,2.4336,0.4782,0.1152,0.1152,0.1152,0.1594,0.4025,0.8412,0.994,0.0694,2.4665,0.4862,7.2924,0.3961
18,Indiana,IN,18089,Lake County,18089,"Lake County, Indiana",498.87916638728,0.497,0.8231,0.7639,0.447,0.3497,2.8807,0.6258,0.2838,0.6847,0.2762,0.9042,0.7534,2.9023,0.7824,0.8549,0.8549,0.8549,0.839,0.057,0.5759,0.7881,0.1798,2.4398,0.4731,9.0777,0.7031
